time price
1512833423087 14537.48
1512833425385 14530.4
1512833426315 14530.37
1512833426548 14510.02
1512833426770 14530.4
1512833428260 14510.02
1512833428468 14530.4
1512833429732 14562.03
1512833429862 14592.46
1512833429925 14625.9
1512833430031 14626.25
1512833430296 14626.27
1512833432106 14626.27
1512833432254 14626.27
1512833432405 14550.27
1512833433265 14562.02
1512833433443 14562.02
1512833434219 14562.02
1512833438683 14550.28
1512833438753 14550.27
1512833441242 14550.31
1512833443271 14550.27
1512833445669 14550.27
1512833453315 14550.27
1512833453410 14550.27
1512833453505 14550.27
1512833454283 14625.39
1512833461889 14565.31
1512833462016 14565.31
1512833463616 14599.35
1512833464694 14610
1512833464842 14550.35
1512833484457 14596
1512833487529 14596.01
1512833488030 14596.01
1512833489695 14596
1512833490033 14596
1512833490249 14596
1512833490482 14552.03
1512833492640 14552
1512833494652 14552
1512833496240 14552.01
1512833496335 14552
1512833496684 14552
1512833498430 14595.47
1512833498683 14595.47
1512833498840 14595.47
1512833498923 14552
1512833500933 14552
1512833502161 14552
1512833503392 14552.01
1512833503518 14552.01
1512833503997 14552.01
1512833505355 14552
1512833506023 14552.03
1512833506530 14595.49
1512833507750 14552
1512833507845 14551.05
1512833507930 14551
1512833508036 14550.53
1512833508115 14550.27
1512833509879 14540
1512833510109 14550
1512833510307 14550
1512833510883 14550
1512833512295 14550
1512833514026 14550
1512833514269 14550.35
1512833514523 14550
1512833515996 14550
1512833516325 14550
1512833518375 14550.35
1512833518545 14550
1512833521379 14550
1512833523388 14550
1512833524174 14550
1512833525570 14550
1512833525795 14550.35
1512833527103 14550.34
1512833527251 14550
1512833527621 14550
1512833528453 14550.34
1512833529681 14550.35
1512833530773 14550.03
1512833531216 14550.35
1512833532454 14550.35
1512833534143 14550.35
1512833538295 14550
1512833538867 14550.35
1512833539100 14550.35
1512833539900 14550
1512833541279 14550
1512833543077 14550.35
1512833543743 14550.4
1512833544060 14550.4
1512833544310 14550
1512833545696 14550
1512833545872 14540
1512833546473 14540.03
1512833556937 14554.99
1512833556987 14555
1512833557288 14556.95
1512833557456 14594
1512833557627 14595.49
1512833558925 14595.49
1512833560992 14595.5
1512833562708 14608.83
1512833562812 14548.94
1512833565449 14593.47
1512833567601 14595
1512833567741 14595.5
1512833569330 14600
1512833571973 14600
1512833572268 14555
1512833575531 14555
1512833576526 14551.05
1512833578488 14551.08
1512833578963 14543.4
1512833579874 14542.24
1512833579968 14541.12
1512833580692 14541.12
1512833581120 14554.99
1512833582790 14554.99
1512833583406 14554.99
1512833583501 14555
1512833584270 14555
1512833584778 14541.11
1512833585754 14555
1512833585965 14545.07
1512833586189 14541.11
1512833586401 14541.11
1512833587419 14554.99
1512833590499 14554.99
1512833591861 14554.99
1512833593260 14554.99
1512833593378 14555
1512833598408 14554.99
1512833601973 14554.99
1512833608709 14550.03
1512833609503 14555
1512833610571 14555.06
1512833612067 14550.04
1512833614111 14598.5
1512833614301 14598.5
1512833614537 14550.04
1512833614653 14550
1512833614791 14583.03
1512833617064 14550
1512833617895 14555
1512833619594 14555
1512833621363 14555
1512833624754 14555
1512833631811 14554.99
1512833634522 14555
1512833635160 14555
1512833638825 14555
1512833638951 14555
1512833640363 14555
1512833641743 14550.07
1512833643670 14550
1512833643808 14550
1512833644519 14555
1512833644947 14555
1512833645491 14550
1512833646181 14555
1512833646409 14555
1512833647371 14555
1512833647467 14564.13
1512833647562 14609.04
1512833647657 14610
1512833647763 14610
1512833647880 14620.11
1512833647985 14620.13
1512833648221 14620.13
1512833649612 14620.13
1512833649822 14620.12
1512833650909 14620.12
1512833653427 14550.15
1512833653565 14550.15
1512833653628 14550.08
1512833653876 14550
1512833654004 14550
1512833654914 14550.17
1512833659613 14599.7
1512833664606 14550.55
1512833675694 14586.22
1512833677623 14586.22
1512833700775 14586.03
1512833703121 14586.03
1512833704418 14586.03
1512833705782 14586.03
1512833707647 14586.05
1512833707731 14586.06
1512833711755 14553
1512833712069 14553.02
1512833712329 14553.02
1512833712667 14553.02
1512833713106 14553.02
1512833718878 14585.91
1512833721930 14567.17
1512833723693 14559.37
1512833723865 14555
1512833724046 14553.03
1512833724204 14553
1512833724384 14552
1512833725815 14552
1512833726284 14585.89
1512833730506 14567.92
1512833734398 14568.71
1512833737653 14569.01
1512833738186 14569.01
1512833738302 14569.04
1512833739223 14575.06
1512833739423 14575.06
1512833739498 14575.06
1512833739688 14575.06
