time price
1512833420244 14530.4
1512833420445 14510.01
1512833420807 14530.4
1512833420870 14532.46
1512833420942 14515.87
1512833420943 14530.43
1512833421204 14530.43
1512833421589 14532.49
1512833421662 14509.38
1512833421926 14397.93
1512833422041 14537.45
1512833422359 14300
1512833422360 14532.49
1512833422762 14537.48
1512833422994 14537.48
1512833423067 14515.84
1512833423129 14532.46
1512833423181 14537.45
1512833423278 14537.48
1512833423278 14502.01
1512833423403 14500.16
1512833423681 14500.16
1512833423893 14511.28
1512833424040 14487.98
1512833424389 14509.01
1512833424390 14510.01
1512833424393 14509.38
1512833424474 14487.98
1512833424799 14511.28
1512833424823 14497.24
1512833424910 14514.79
1512833425066 14497.24
1512833425131 14504.77
1512833425237 14511.04
1512833425290 14532.5
1512833425322 14532.5
1512833425323 14511.04
1512833425459 14478.72
1512833425523 14502.01
1512833425524 14504.01
1512833425745 14502.02
1512833425956 14504.77
1512833426093 14515.86
1512833426136 14504.19
1512833426263 14530.37
1512833426444 14510.02
1512833426496 14510.02
1512833426664 14537.48
1512833426717 14537.48
1512833427066 14504.19
1512833427235 14503.7
1512833427299 14509.01
1512833427829 14504.24
1512833427934 14480.01
1512833428187 14510.02
1512833428364 14550.27
1512833428406 14550.27
1512833429384 14510.02
1512833429711 14626.27
1512833429712 14626.27
1512833429775 14626.27
1512833429872 14626.27
1512833429967 14626.27
1512833430181 14480.01
1512833430244 14626.27
1512833430569 14504.01
1512833430590 14509.01
1512833430601 14504.24
1512833432032 14626.27
1512833432191 14626.27
1512833432341 14550.27
1512833432490 14504.24
1512833432543 14480.01
1512833432987 14397.93
1512833432988 14503.71
1512833433192 14545.9
1512833433193 16100.63
1512833433203 16100.63
1512833433234 14502.02
1512833433328 16100.63
1512833433380 16100.63
1512833433495 14504.01
1512833433515 14503.7
1512833433547 14501.01
1512833433810 14500.88
1512833434011 14505.4
1512833434084 14666.21
1512833434136 14666.21
1512833434835 14480.01
1512833435544 14545.9
1512833435704 14500.88
1512833435915 14501.66
1512833435946 14550.28
1512833436677 14380.57
1512833436880 14501.66
1512833436995 14502.34
1512833437198 14484.77
1512833437612 14504.24
1512833437613 14503.71
1512833437615 14504.01
